rank,phase,hostile_rank,paper_id,title,year,venue,authors,doi,url,cited_by_count,source_query,relevance_score,hostile_relevance,topic_tags,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract
312,landscape,,https://openalex.org/W4206118099,Planning Algorithms Under Uncertainty for a Team of a UAV and a UGV for Underground Exploration,2021,,Matteo De Petrillo,https://doi.org/10.33915/etd.10284,https://doi.org/10.33915/etd.10284,1,robot planning under uncertainty belief state POMDP,13.1466,4.3,POMDP/belief planning; navigation/localization; robust/risk/chance; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Robots’ autonomy has been studied for decades in different environments, but only recently, thanks to the advance in technology and interests, robots for underground exploration gained more attention. Due to the many challenges that any robot must face in such harsh environments, this remains an challenging and complex problem to solve. As technology became cheaper and more accessible, the use of robots for underground ex- ploration increased. One of the main challenges is concerned with robot localization, which is not easily provided by any Global Navigation Services System (GNSS). Many developments have been achieved for indoor mobile ground robots, making them the easiest fit for subterranean explo- ration. With the commercialization of small drones, the potentials and benefits of aerial exploration increased along with challenges connected to their dynamics. This dissertation presents two path planning algorithms for a team of robots composed of an Unmanned Ground Vehicle (UGV) and an Unmanned Aerial Vehicle (UAV) with the task of ex- ploring a subterranean environment. First, the UAV’s localization problem is addressed by fusing different sensors present on both robots in a centralized manner. Second, a path planning algo- rithm that minimizes the UAV’s localization error is proposed. The algorithm propagates the UAV motion model in the Belief Space, evaluating for potential exploration routes that optimize the sensors’ observations. Third, a new algorithm is presented, which results to be more robust to dif- ferent environmental conditions that could affect the sensor’s measurements. This last planning algorithm leverages the use of machine learning, in particular the Gaussian Process, to improve the algorithm’s knowledge of the surrounding environment pointing out when sensors provide poor observations. The algorithm utilizes real sensor measurements to learn and predict the UAV’s lo- calization error. Extensive results are presented for the first two parts regarding the UAV’s localization and the path planning algorithm in the belief space. The localization algorithm is supported with real-world scenario experimental results, while the belief space planning algorithm has been extensively tested in a simulated environment. Finally, the last approach has also been tested in a simulated environ- ment and showed its benefits compared to the first planning algorithm."
313,landscape,,https://openalex.org/W3159126237,Safe path planning for UAV urban operation under GNSS signal occlusion risk,2021,Robotics and Autonomous Systems,Jean-Alexis Delamer; Yoko Watanabe; Caroline Ponzoni Carvalho Chanel,https://doi.org/10.1016/j.robot.2021.103800,https://doi.org/10.1016/j.robot.2021.103800,31,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,13.1329,2.0,POMDP/belief planning; manipulation/contact; motion planning/MPC; robust/risk/chance,Guarantee or bias robot behavior against low-probability failures under uncertainty.,"Use robust sets, chance constraints, risk measures, tubes, or conservative model predictive control.",risk envelope is specified before the task decision; conservatism is preferable to ambiguity-sensitive commitment,"risk threshold, uncertainty set, safety constraint family, fallback controller","over-conservatism, poor discrimination between action-relevant and nuisance ambiguity, brittle thresholds",risk-sensitive or robust wrappers around uncertainty,control-relevant ambiguity certificates not reducible to generic risk bounds,
314,landscape,,https://openalex.org/W1501627097,Learning in a state of confusion : employing active perception and reinforcement learning in partially observable worlds,2007,ERA,Paul Crook,,https://openalex.org/W1501627097,8,robotics partial observability POMDP belief space planning,13.0986,3.0,POMDP/belief planning; active perception/sensing; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"In applying reinforcement learning to agents acting in the real world we are often faced with tasks that are non-Markovian in nature. Much work has been done using state estimation algorithms to try to uncover Markovian models of tasks in order to allow the learning of optimal solutions using reinforcement learning. Unfortunately these algorithms which attempt to simultaneously learn a Markov model of the world and how to act have proved very brittle. Our focus differs. In considering embodied, embedded and situated agents we have a preference for simple learning algorithms which reliably learn satisficing policies. The learning algorithms we consider do not try to uncover the underlying Markovian states, instead they aim to learn successful deterministic reactive policies such that agents actions are based directly upon the observations provided by their sensors. Existing results have shown that such reactive policies can be arbitrarily worse than a policy that has access to the underlying Markov process and in some cases no satisficing reactive policy can exist. Our first contribution is to show that providing agents"
315,landscape,,https://openalex.org/W4409528085,Recent Advances in Interactive Driving of Autonomous Vehicles: Comprehensive Review of Approaches,2025,Automotive Innovation,Yanwen Yang; Natnael M. Negash; James Yang,https://doi.org/10.1007/s42154-024-00332-w,https://doi.org/10.1007/s42154-024-00332-w,8,robotics partial observability POMDP belief space planning,13.0986,2.5,POMDP/belief planning; navigation/localization; robust/risk/chance; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Abstract Interactive autonomous driving is an evolving research domain that demands an autonomous vehicle (AV) to exhibit adaptability to new environments, cognizance of surrounding traffic conditions, and proficient decision-making ability in complex human-dominated scenarios to guarantee safe navigation and promote social compatibility. This paper reviews the diverse methodologies utilized in interactive driving for AVs. Various techniques will be investigated for their unique contributions and capabilities in developing AV systems, such as long short-term memory (LSTM), transformer, artificial potential field (APF), game theory, reinforcement learning (RL)/deep reinforcement learning (DRL), and partially observable Markov decision processes (POMDP), among others. Recent advancements based on these methodologies are summarized to elucidate their application rationale in interactive driving scenarios. The strengths and challenges inherent to each approach within the context of interactive driving are further assessed. Additionally, the resolution of these challenges is explored through integrating different methods. Therefore, a comparative analysis offers crucial perspectives for advancing autonomous driving technologies. This review exclusively focuses on the interactions between AVs and human-driven vehicles (HDVs)."
316,landscape,,https://openalex.org/W3162021874,New concepts in team theory: mean field teams and reinforcement learning,2017,eScholarship@McGill (McGill),Jalal Arabneydi,https://doi.org/10.82308/49617,https://doi.org/10.82308/49617,23,robotics partial observability POMDP belief space planning,13.089,2.8,POMDP/belief planning; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"This thesis consists of two parts wherein each part introduces a new concept in team theory. In the first part, we introduce systems with partially exchangeable agents. A system is called partially exchangeable if it can be partitioned into sub-populations where agents are exchangeable. A sub-population of agents is called exchangeable if the manner in which agents are indexed does not affect the dynamics and cost. In practice, this insensitivity to the index naturally emerges in many applications. For example, in power systems, the system dynamics and cost would not change if the houses in a residential neighbourhood were numbered differently; in swarm robotics, the dynamics andcost depend on the position of the robots, not on how the agents are indexed. We first show that a system with partially exchangeable agents is equivalent to a system where agents are coupled in the dynamics and cost through the aggregate behaviour of agents (called mean-field). Then, we investigate and identify the optimal strategy---under mean-field sharing information structure which is non-classical---for two different models: linear quadratic and controlled Markov chain. We show that the optimal strategies, unlike the existing results in team theory, are scalable to large scale systems. We use the theory to solve idealized models of demand response in power systems and resource allocation in networks.In the second part, we study systems with partial history sharing information structure---which encompasses a large class of team problems including mean-field teams---when agents do not know the complete model of the system. The agents must learn the optimal strategies by interacting with their environment using reinforcement learning. We develop a reinforcement learning algorithm that guarantees epsilon-team-optimal performance. As an intermediate step of this development, we revisit the well-known partially observable Markov decision process and propose a novel approach to find an epsilon-optimal solution. The novelty of this approach is to identify the planning space based on the structure of the model. To illustrate the algorithm, we develop a reinforcement learning algorithm for the benchmark example of two-user multi access broadcast channel and present numerical results."
317,landscape,,https://openalex.org/W2953024996,The Value of Inferring the Internal State of Traffic Participants for Autonomous Freeway Driving,2017,arXiv (Cornell University),Zachary N. Sunberg; C. J. Ho; Mykel J. Kochenderfer,https://doi.org/10.48550/arxiv.1702.00858,https://doi.org/10.48550/arxiv.1702.00858,2,robot planning under uncertainty belief state POMDP,13.0493,3.0,POMDP/belief planning; robust/risk/chance; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Safe interaction with human drivers is one of the primary challenges for autonomous vehicles. In order to plan driving maneuvers effectively, the vehicle's control system must infer and predict how humans will behave based on their latent internal state (e.g., intentions and aggressiveness). This research uses a simple model for human behavior with unknown parameters that make up the internal states of the traffic participants and presents a method for quantifying the value of estimating these states and planning with their uncertainty explicitly modeled. An upper performance bound is established by an omniscient Monte Carlo Tree Search (MCTS) planner that has perfect knowledge of the internal states. A baseline lower bound is established by planning with MCTS assuming that all drivers have the same internal state. MCTS variants are then used to solve a partially observable Markov decision process (POMDP) that models the internal state uncertainty to determine whether inferring the internal state offers an advantage over the baseline. Applying this method to a freeway lane changing scenario reveals that there is a significant performance gap between the upper bound and baseline. POMDP planning techniques come close to closing this gap, especially when important hidden model parameters are correlated with measurable parameters."
318,landscape,,https://openalex.org/W2998548529,Off-Policy Evaluation in Partially Observable Environments,2020,,Guy Tennenholtz; Uri Shalit; Shie Mannor,https://doi.org/10.1609/aaai.v34i06.6590,https://doi.org/10.1609/aaai.v34i06.6590,32,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,13.0483,2.0,POMDP/belief planning; robust/risk/chance; learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"This work studies the problem of batch off-policy evaluation for Reinforcement Learning in partially observable environments. Off-policy evaluation under partial observability is inherently prone to bias, with risk of arbitrarily large errors. We define the problem of off-policy evaluation for Partially Observable Markov Decision Processes (POMDPs) and establish what we believe is the first off-policy evaluation result for POMDPs. In addition, we formulate a model in which observed and unobserved variables are decoupled into two dynamic processes, called a Decoupled POMDP. We show how off-policy evaluation can be performed under this new model, mitigating estimation errors inherent to general POMDPs. We demonstrate the pitfalls of off-policy evaluation in POMDPs using a well-known off-policy method, Importance Sampling, and compare it with our result on synthetic medical data."
319,landscape,,https://openalex.org/W4366197352,CAR-DESPOT: Causally-Informed Online POMDP Planning for Robots in Confounded Environments,2023,arXiv (Cornell University),Ricardo Cannizzaro; Lars Kunze,https://doi.org/10.48550/arxiv.2304.06848,https://doi.org/10.48550/arxiv.2304.06848,0,robotics partial observability POMDP belief space planning,13.0,3.8,POMDP/belief planning; robust/risk/chance; learning/world models; task abstraction,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Robots operating in real-world environments must reason about possible outcomes of stochastic actions and make decisions based on partial observations of the true world state. A major challenge for making accurate and robust action predictions is the problem of confounding, which if left untreated can lead to prediction errors. The partially observable Markov decision process (POMDP) is a widely-used framework to model these stochastic and partially-observable decision-making problems. However, due to a lack of explicit causal semantics, POMDP planning methods are prone to confounding bias and thus in the presence of unobserved confounders may produce underperforming policies. This paper presents a novel causally-informed extension of ""anytime regularized determinized sparse partially observable tree"" (AR-DESPOT), a modern anytime online POMDP planner, using causal modelling and inference to eliminate errors caused by unmeasured confounder variables. We further propose a method to learn offline the partial parameterisation of the causal model for planning, from ground truth model data. We evaluate our methods on a toy problem with an unobserved confounder and show that the learned causal model is highly accurate, while our planning method is more robust to confounding and produces overall higher performing policies than AR-DESPOT."
320,landscape,,https://openalex.org/W2327376250,Constrained Probabilistic Search for a One-Dimensional Random Walker,2016,IEEE Transactions on Robotics,Narges Noori; Alessandro Renzaglia; Joshua Vander Hook; Volkan Isler,https://doi.org/10.1109/tro.2015.2513751,https://doi.org/10.1109/tro.2015.2513751,10,robot planning under uncertainty belief state POMDP,12.9989,2.0,POMDP/belief planning; motion planning/MPC,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"This paper addresses a fundamental search problem in which a searcher subject to time and energy constraints tries to find a mobile target. The target's motion is modeled as a random walk on a discrete set of points on a line segment. At each time step, the target chooses one of the adjacent nodes at random and moves there. We study two detection models. In the no-crossing model, the searcher detects the target if it is on the same node or if it takes the same edge at the same time. In the crossing model, detection happens only if the target lands on the same node at the same time. For the no-crossing model, where move and stay actions may have different costs, we present an optimal search strategy under energy and time constraints. For the crossing model, we formulate the problem of designing an optimal strategy as a partially observable Markov decision process (POMDP) and solve it using methods that reduce the state-space representation of the belief. The POMDP solution reveals structural properties of the optimal solution. We use this structure to design an efficient strategy and analytically study its performance. Finally, we present preliminary experimental results to demonstrate the applicability of our model to our tracking system, which is used for finding radio-tagged invasive fish."
321,landscape,,https://openalex.org/W4367679903,Model-free Motion Planning of Autonomous Agents for Complex Tasks in Partially Observable Environments,2023,Research Square,Junchao Li; Mingyu Cai; Zhen Kan; Shaoping Xiao,https://doi.org/10.21203/rs.3.rs-2856026/v1,https://doi.org/10.21203/rs.3.rs-2856026/v1,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,12.9931,2.0,POMDP/belief planning; motion planning/MPC; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"<title>Abstract</title> Motion planning of autonomous agents in partially known environments with incomplete information is a challenging problem, particularly for complex tasks. This paper proposes a model-free reinforcement learning approach to address this problem. We formulate motion planning as a probabilistic-labeled partially observable Markov decision process (PL-POMDP) problem and use linear temporal logic (LTL) to express the complex task. The LTL formula is then converted to a limit-deterministic generalized Büchi automaton (LDGBA). The problem is redefined as finding an optimal policy on the product of PL-POMDP with LDGBA based on model-checking techniques to satisfy the complex task. We implement deep Q learning with long short-term memory (LSTM) to process the observation history and task recognition. Our contributions include the proposed method, the utilization of LTL and LDGBA, and the LSTM-enhanced deep Q learning. We demonstrate the applicability of the proposed method by conducting simulations in various environments, including grid worlds, a virtual office, and a multi-agent warehouse. The simulation results demonstrate that our proposed method effectively addresses environment, action, and observation uncertainties. This indicates its potential for real-world applications, including the control of unmanned aerial vehicles (UAVs)."
322,landscape,,https://openalex.org/W4388723553,Autonomous Vehicle Decision-Making with Policy Prediction for Handling a Round Intersection,2023,Electronics,Xinchen Li; Levent Güvenç; Bilin Aksun‐Güvenç,https://doi.org/10.3390/electronics12224670,https://doi.org/10.3390/electronics12224670,3,robotics partial observability POMDP belief space planning,12.9931,2.0,POMDP/belief planning; manipulation/contact; motion planning/MPC,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Autonomous shuttles have been used as end-mile solutions for smart mobility in smart cities. The urban driving conditions of smart cities with many other actors sharing the road and the presence of intersections have posed challenges to the use of autonomous shuttles. Round intersections are more challenging because it is more difficult to perceive the other vehicles in and near the intersection. Thus, this paper focuses on the decision-making of autonomous vehicles for handling round intersections. The round intersection is introduced first, followed by introductions of the Markov Decision Process (MDP), the Partially Observable Markov Decision Process (POMDP) and the Object-Oriented Partially Observable Markov Decision Process (OOPOMDP), which are used for decision-making with uncertain knowledge of the motion of the other vehicles. The Partially Observable Monte-Carlo Planning (POMCP) algorithm is used as the solution method and OOPOMDP is applied to the decision-making of autonomous vehicles in round intersections. Decision-making is formulated first as a POMDP problem, and the penalty function is formulated and set accordingly. This is followed by an improvement in decision-making with policy prediction. Augmented objective state and policy-based state transition are introduced, and simulations are used to demonstrate the effectiveness of the proposed method for collision-free handling of round intersections by the ego vehicle."
323,landscape,,https://openalex.org/W4226175179,Inspection and maintenance planning for offshore wind structural components: integrating fatigue failure criteria with Bayesian networks and Markov decision processes,2022,Structure and Infrastructure Engineering,Nandar Hlaing; Pablo G. Morato; Jannie Sønderkær Nielsen; Peyman Amirafshari; Athanasios Kolios; Philippe Rigo,https://doi.org/10.1080/15732479.2022.2037667,https://doi.org/10.1080/15732479.2022.2037667,23,robot planning under uncertainty belief state POMDP,12.889,2.0,POMDP/belief planning; robust/risk/chance,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Exposed to the cyclic action of wind and waves, offshore wind structures are subject to fatigue deterioration processes throughout their operational life, therefore constituting a structural failure risk. In order to control the risk of adverse events, physics-based deterioration models, which often contain significant uncertainties, can be updated with information collected from inspections, thus enabling decision-makers to dictate more optimal and informed maintenance interventions. The identified decision rules are, however, influenced by the deterioration model and failure criterion specified in the formulation of the pre-posterior decision-making problem. In this paper, fatigue failure criteria are integrated with Bayesian networks and Markov decision processes. The proposed methodology is implemented in the numerical experiments, specified with various crack growth models and failure criteria, for the optimal management of an offshore wind structural detail under fatigue deterioration. Within the experiments, the crack propagation, structural reliability estimates, and the optimal policies derived through heuristics and partially observable Markov decision processes (POMDPs) are thoroughly analysed, demonstrating the capability of failure assessment diagram to model the structural redundancy in offshore wind substructures, as well as the adaptability of POMDP policies."
324,landscape,,https://openalex.org/W2810849657,Planning Robust Manual Tasks in Hierarchical Belief Spaces,2018,Proceedings of the International Conference on Automated Planning and Scheduling,Michael W. Lanighan; Takeshi Takahashi; Roderic A. Grupen,https://doi.org/10.1609/icaps.v28i1.13928,https://doi.org/10.1609/icaps.v28i1.13928,2,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,12.8493,4.0,POMDP/belief planning; manipulation/contact; robust/risk/chance; learning/world models; task abstraction; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"This paper introduces a technique for planning in hierarchical belief spaces and demonstrates the idea in an autonomous assembly task. The objective is to effectively propagate belief across multiple levels of abstraction to make control decisions that expose useful state information, manage uncertainty and risk, and actively satisfy task specifications. This approach is demonstrated by performing multiple instances of a simple class of assembly tasks using the uBot-6 mobile manipulator with a two-level hierarchy that manages uncertainty over objects and assembly geometry. The result is a method for composing a sequence of manual interactions that causes changes to the environment and exposes new information in order to support belief that the task is satisfied. This approach has the added virtue that it provides a natural way to accomplish tasks while simultaneously suppressing errors and mitigating risk. We compare performance in an example assembly task against a baseline hybrid approach that combines uncertainty management with a symbolic planner and show statistically significant improvement in task outcomes. In additional demonstrations that challenge the system we highlight useful artifacts of the approach---risk management and autonomous recovery from unexpected events."
325,landscape,,https://openalex.org/W1684737195,Information Gain-based Exploration Using Rao-Blackwellized Particle Filters,2005,,Cyrill Stachniss; Giorgio Grisetti; Wolfram Burgard,https://doi.org/10.15607/rss.2005.i.009,https://doi.org/10.15607/rss.2005.i.009,538,robot planning under uncertainty belief state POMDP,12.8449,3.8,active perception/sensing; navigation/localization,Select sensing actions that improve future embodied decisions under uncertainty.,"Optimize expected information gain, entropy reduction, value of information, or next-best-view utility.",more information is a good proxy for better control; sensing utility is comparable across task-relevant and nuisance variables,"sensor menu, perceptual representation, information metric, downstream planner interface","sensing high-entropy but task-irrelevant variables, delaying action when dominance is already certified",generic active sensing and information-gathering policies,decision-ambiguity operators that sense only when action ordering can change,"This paper presents an integrated approach to exploration, mapping, and localization. Our algorithm uses a highly efficient Rao-Blackwellized particle filter to represent the posterior about maps and poses. It applies a decision-theoretic framework which simultaneously considers the uncertainty in the map and in the pose of the vehicle to evaluate potential actions. Thereby, it trades off the cost of executing an action with the expected information gain and takes into account possible sensor measurements gathered along the path taken by the robot. We furthermore describe how to utilize the properties of the Rao-Blackwellization to efficiently compute the expected information gain. We present experimental results obtained in the real world and in simulation to demonstrate the effectiveness of our approach."
326,landscape,,https://openalex.org/W2007221309,Spoken dialogue management using probabilistic reasoning,2000,,Nicholas Roy; Joëlle Pineau; Sebastian Thrun,https://doi.org/10.3115/1075218.1075231,https://doi.org/10.3115/1075218.1075231,290,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,12.8367,2.0,POMDP/belief planning,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Spoken dialogue managers have benefited from using stochastic planners such as Markov Decision Processes (MDPs). However, so far, MDPs do not handle well noisy and ambiguous speech utterances. We use a Partially Observable Markov Decision Process (POMDP)-style approach to generate dialogue strategies by inverting the notion of dialogue state; the state represents the user's intentions, rather than the system state. We demonstrate that under the same noisy conditions, a POMDP dialogue manager makes fewer mistakes than an MDP dialogue manager. Furthermore, as the quality of speech recognition degrades, the POMDP dialogue manager automatically adjusts the policy."
327,landscape,,https://openalex.org/W2292328972,ALLEGRO: belief-based programming in stochastic dynamical domains,2015,Lirias (KU Leuven),Vaishak Belle; Hector J. Levesque,,https://openalex.org/W2292328972,20,robot planning under uncertainty belief state POMDP,12.8223,2.8,learning/world models,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"High-level programming languages are an influential control paradigm for building agents that are purposeful in an incompletely known world. GOLOG, for example, allows us to write programs, with loops, whose constructs refer to an explicit world model axiomatized in the expressive language of the situation calculus. Over the years, GOLOG has been extended to deal with many other features, the claim being that these would be useful in robotic applications. Unfortunately, when robots are actually deployed, effectors and sensors are noisy, typically characterized over continuous probability distributions, none of which is supported in GOLOG, its dialects or its cousins. This paper presents ALLEGRO, a belief-based programming language for stochastic domains, that refashions GOLOG to allow for discrete and continuous initial uncertainty and noise. It is fully implemented and experiments demonstrate that ALLEGRO could be the basis for bridging high-level programming and probabilistic robotics technologies in a general way."
328,landscape,,https://openalex.org/W2221452810,Learning Accuracy and Availability of Humans Who Help Mobile Robots,2011,Proceedings of the AAAI Conference on Artificial Intelligence,Stephanie Rosenthal; Manuela Veloso; Anind K. Dey,https://doi.org/10.1609/aaai.v25i1.7980,https://doi.org/10.1609/aaai.v25i1.7980,36,robot planning under uncertainty belief state POMDP,12.8055,3.8,POMDP/belief planning; navigation/localization; learning/world models; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"When mobile robots perform tasks in environments with humans, it seems appropriate for the robots to rely on such humans for help instead of dedicated human oracles or supervisors. However, these humans are not always available nor always accurate. In this work, we consider human help to a robot as concretely providing observations about the robot's state to reduce state uncertainty as it executes its policy autonomously. We model the probability of receiving an observation from a human in terms of their availability and accuracy by introducing Human Observation Providers POMDPs (HOP-POMDPs). We contribute an algorithm to learn human availability and accuracy online while the robot is executing its current task policy. We demonstrate that our algorithmis effective in approximating the true availability and accuracy of humans without depending on oracles to learn, thus increasing the tractability of deploying a robot that can occasionally ask for help."
